rank,x0,y0,d,theta0_degree,delta_theta_degree,gain,mse,rmse
292,38.6336,57.0953,0.2881,29.2844,1.0274,1.3985,63.3212,7.9575
293,38.6004,55.5902,0.2874,31.5499,1.0115,1.4004,63.3555,7.9596
294,40.0893,55.5010,0.2799,31.2091,1.0369,1.3764,63.5237,7.9702
295,42.4598,58.9014,0.2702,26.5135,1.0013,1.3601,63.5553,7.9722
296,41.8107,53.0521,0.2702,31.5158,0.9721,1.3665,63.6436,7.9777
297,42.2751,58.8368,0.2711,27.7608,0.9779,1.3672,63.8251,7.9891
298,38.8581,54.3285,0.2856,31.9726,0.9808,1.4028,63.8776,7.9923
299,38.6749,54.7661,0.2867,31.4613,1.0089,1.3989,63.9463,7.9966
300,39.1663,55.0916,0.2843,29.2598,0.9820,1.3993,63.9636,7.9977
301,41.2954,59.9355,0.2770,26.3995,0.9927,1.3786,63.9854,7.9991
302,41.5900,59.5668,0.2752,25.2672,1.0350,1.3651,64.0640,8.0040
303,38.9219,55.1282,0.2856,33.1443,1.0114,1.3956,64.0961,8.0060
304,42.0899,53.4726,0.2689,34.0946,0.9835,1.3605,64.0994,8.0062
305,40.7909,53.2832,0.2754,33.1303,1.0153,1.3697,64.1827,8.0114
306,42.1706,56.8687,0.2702,28.9822,0.9559,1.3693,64.2027,8.0127
307,42.2703,59.0187,0.2713,25.2973,1.0268,1.3571,64.2321,8.0145
308,39.7886,53.7332,0.2806,32.0451,1.0252,1.3804,64.2327,8.0145
309,42.0671,53.8815,0.2692,32.5480,1.0035,1.3565,64.3236,8.0202
310,39.1249,53.7188,0.2840,32.4529,0.9731,1.4005,64.4325,8.0270
311,39.6371,59.5873,0.2849,25.6842,1.0255,1.3909,64.4998,8.0312
312,38.7315,54.4715,0.2863,31.7582,0.9878,1.4025,64.5125,8.0320
313,38.8950,54.2440,0.2853,30.7654,0.9919,1.3993,64.5840,8.0364
314,39.2512,53.3971,0.2832,31.7403,1.0124,1.3894,64.5934,8.0370
315,39.6118,53.0836,0.2813,30.9406,0.9885,1.3901,64.6793,8.0423
316,41.1564,53.7308,0.2737,32.4339,1.0215,1.3638,64.7544,8.0470
317,39.1840,57.2578,0.2854,27.6237,0.9896,1.3999,64.7756,8.0483
318,39.5909,52.9513,0.2814,31.3204,0.9904,1.3898,64.8041,8.0501
319,41.8536,59.3816,0.2737,27.2005,1.0196,1.3642,64.8869,8.0552
320,40.4946,59.6856,0.2807,24.4846,1.0088,1.3841,64.9749,8.0607
321,42.4225,58.8236,0.2704,27.0883,0.9835,1.3635,65.0028,8.0624
322,42.6294,58.5347,0.2691,26.2538,0.9946,1.3580,65.0085,8.0628
323,38.4921,55.7319,0.2880,30.2128,0.9999,1.4038,65.0370,8.0646
324,39.8341,59.0943,0.2835,29.6780,0.9732,1.3988,65.0795,8.0672
325,41.4909,58.3451,0.2746,27.5584,0.9649,1.3781,65.1375,8.0708
326,38.6039,54.8272,0.2871,30.3831,1.0077,1.3996,65.1508,8.0716
327,41.3489,52.3629,0.2723,33.4443,0.9677,1.3724,65.2837,8.0798
328,38.6322,54.4565,0.2868,32.7112,0.9898,1.4029,65.4144,8.0879
